Model,Accuracy,Precision,Recall,F1,ROC AUC,Std Accuracy,Std F1
SVM,0.8455185132642928,0.4913070980899198,0.7384615384615385,0.5895068596457096,0.8870438771651161,0.011372615785054536,0.01729488543292528
XGBoost,0.8786608029507732,0.6080641617226983,0.5329487179487179,0.5658869395711501,0.8915024884653203,0.012824383549628683,0.06153822448050484
LightGBM,0.8801787487586893,0.6173296000465853,0.527948717948718,0.5636263853655158,0.8953684819605174,0.007341569811147364,0.06411530508712812
Logistic Regression,0.8138402610299333,0.433166526100729,0.7637179487179487,0.5516047630598715,0.887843052719159,0.014732627095520697,0.023438448858634733
Random Forest,0.8801702369130373,0.7726172520290168,0.2865384615384615,0.416315841179725,0.88572285757507,0.014075750565003434,0.0761177306240861
